GAME NAME,NUM PLAYERS,WIN?,RANK P1,UTILITY P1,NUM MOVES,NUM P1 MOVES
Kalah,2,true,1.0,1.0,19.0,10
Myles,2,false,2.0,-1.0,161.0,80
Hasami Shogi,2,true,1.0,1.0,61.0,31
Minefield,2,true,1.0,1.0,17.0,9
Pachisi,4,false,3.0,-0.33333333333333326,649.0,162
Symple,2,false,2.0,-1.0,361.0,165
Moo,2,true,1.0,1.0,43.0,24
Social Distance Chess,2,true,1.0,1.0,31.0,16
Sig (Tozeur),2,false,2.0,-1.0,176.0,87
Main Chongkak,2,false,2.0,-1.0,395.0,239
Four-Player Chaturanga (al-Biruni),4,false,4.0,-1.0,1088.0,253
Tawula,2,true,1.0,1.0,782.0,396
Gamacha,2,true,1.0,1.0,27.0,14
Don't Mosey and The Last Scavenger,2,true,1.0,1.0,13.0,7
Let's Catch the Lion,2,false,2.0,-1.0,6.0,2
Epoxy,2,true,1.0,1.0,29.0,15
American Pool Checkers,2,true,1.0,1.0,67.0,35
Padaivettu,2,true,1.0,1.0,247.0,124
Uturu Uturu Kaida,7,false,7.0,-1.0,111.0,18
XII Scripta,2,true,1.0,1.0,424.0,210
Katro,2,true,1.0,1.0,125.0,107
Laram Wali,2,true,1.0,1.0,279.0,140
Lange Puff,2,true,1.0,1.0,304.0,168
The Babylonian,2,true,1.0,1.0,55.0,32
Quendo,4,true,1.0,1.0,57.0,25
Gurvan Xudag,2,false,1.5,0.0,1000.0,499
Oriath,1,true,1.0,1.0,7.0,7
Siga (Sri Lanka),2,false,2.0,-1.0,54.0,26
Bolotudu,2,false,2.0,-1.0,76.0,34
Signum,2,false,2.0,-1.0,91.0,46
Chess Puzzle,2,true,1.0,1.0,1.0,1
Hund efter Hare (Thy),2,false,1.5,0.0,1000.0,499
Mweiso,2,false,2.0,-1.0,56.0,29
Sher Bakar,2,false,2.0,-1.0,194.0,89
Chaturaji,4,true,1.0,1.0,327.0,82
Gonnect,2,false,2.0,-1.0,174.0,86
Neg Tugal Tuux,2,false,2.0,-1.0,138.0,68
Alquerque de Tres,2,false,1.5,0.0,8.0,3
Game of Solomon,2,false,2.0,-1.0,128.0,63
Hund efter Hare (Vendsyssel),2,false,2.0,-1.0,231.0,116
Faraday,2,true,1.0,1.0,98.0,52
Chong (Sakhalin),2,true,1.0,1.0,9.0,4
Squadro,2,false,2.0,-1.0,109.0,56
Kharebga (7x7),2,true,1.0,1.0,99.0,50
Epelle,2,false,2.0,-1.0,144.0,71
Shisen-Sho,1,true,1.0,1.0,84.0,84
Ceelkoqyuqkoqiji,2,false,2.0,-1.0,110.0,50
Center,2,true,1.0,1.0,17.0,9
Konane,2,true,1.0,1.0,86.0,45
Setichch,6,false,3.5,0.0,3000.0,493
Azigo,2,false,1.5,0.0,1000.0,499
Tasholiwe,4,true,1.0,1.0,219.0,53
Li'b el-Merafib,4,true,1.0,1.0,409.0,96
Shiva,2,false,2.0,-1.0,130.0,64
Siryu (War),2,false,2.0,-1.0,536.0,265
Spline,2,false,2.0,-1.0,26.0,12
Shobu,2,true,1.0,1.0,30.0,16
Khutka Boia,2,false,2.0,-1.0,388.0,200
Fivalath,2,true,1.0,1.0,23.0,12
Achi,2,false,2.0,-1.0,150.0,72
Shatranj al-Kabir,2,false,1.5,0.0,1000.0,499
Vela,2,true,1.0,1.0,25.0,12
Janggi,2,true,1.0,1.0,57.0,29
Enindji,2,false,2.0,-1.0,200.0,99
Maak Yek,2,true,1.0,1.0,51.0,26
Atari Go,2,true,1.0,1.0,87.0,44
Triodi (Diagonal),2,true,1.0,1.0,50.0,29
Chiana wa Kunja,2,false,2.0,-1.0,169.0,82
Gurgaldaj,2,true,1.0,1.0,47.0,28
Dama,2,false,2.0,-1.0,130.0,64
Toono,2,false,2.0,-1.0,188.0,93
Marelle Quadruple,2,true,1.0,1.0,13.0,7
Garanguet,2,false,2.0,-1.0,376.0,192
Wari (Alignment),2,true,1.0,1.0,59.0,36
Kioz,2,true,1.0,1.0,743.0,365
Sim,2,false,2.0,-1.0,15.0,8
Dodgem,2,false,2.0,-1.0,184.0,91
20 Squares,2,true,1.0,1.0,98.0,52
Dash Guti,2,true,1.0,1.0,39.0,20
Skirmish (GDL),2,true,1.0,1.0,73.0,37
Jacquet de Versailles,2,false,2.0,-1.0,545.0,268
Shogi Puzzle,2,true,1.0,1.0,1.0,1
Isolation,2,true,1.0,1.0,50.0,26
Cannon,2,true,1.0,1.0,47.0,24
Fart (5x5),2,false,2.0,-1.0,142.0,70
Picaria,2,false,2.0,-1.0,134.0,66
Gabata (Aksum),2,false,1.5,0.0,1000.0,525
Musoro Tsoro,2,true,1.0,1.0,134.0,61
Rumi Shatranj,2,true,1.0,1.0,99.0,50
Oust,2,true,1.0,1.0,72.0,48
King And Courtesan,2,true,1.0,1.0,35.0,18
Weiqi,2,false,2.0,-1.0,670.0,334
Mini Hexchess,2,true,1.0,1.0,19.0,10
Short Assize,2,true,1.0,1.0,53.0,27
Pasit,4,false,2.0,0.33333333333333337,947.0,197
Quick Chess,2,true,1.0,1.0,19.0,10
Quixo,2,false,2.0,-1.0,124.0,61
2048,1,false,0.0,-1.0,113.0,113
El Zorro,2,true,1.0,1.0,97.0,49
Unnee Tugalluulax,2,false,2.0,-1.0,155.0,78
Currierspiel,2,true,1.0,1.0,69.0,35
Pippinzip (Zipline variant),2,false,2.0,-1.0,106.0,64
Brazilian Draughts,2,true,1.0,1.0,70.0,36
Onyx,2,false,2.0,-1.0,166.0,82
Ratio,2,false,2.0,-1.0,12.0,7
Shanzak Kammar,2,false,1.5,0.0,1000.0,499
Ludus Lombardorum,2,false,2.0,-1.0,192.0,95
Pathway,2,true,1.0,1.0,30.0,14
Saturankam,4,true,1.0,1.0,537.0,112
O-Pat-Kono,2,false,1.5,0.0,1000.0,499
Obridje,2,false,2.0,-1.0,379.0,195
Queah Game,2,false,2.0,-1.0,130.0,66
Shatranj ar-Rumiya,2,false,1.5,0.0,1000.0,499
Tamman,4,false,2.0,0.33333333333333337,508.0,149
Ciri Amber,2,true,1.0,1.0,21.0,11
Krida Buddhibalasrita,2,true,1.0,1.0,59.0,30
Dam,2,true,1.0,1.0,881.0,440
Mysore Tiger Game (Three Tigers),2,true,1.0,1.0,358.0,180
Len Cua Kin Ngoa,2,true,1.0,1.0,15.0,8
Siryu (Race),4,false,2.5,0.0,2000.0,509
Bargese,2,false,2.0,-1.0,161.0,82
Awangdu,2,false,2.0,-1.0,170.0,84
Jeu du Renard et de la Poule,2,true,1.0,1.0,45.0,25
Nama,8,false,2.5,0.5714285714285714,269.0,42
Susan,2,true,1.0,1.0,23.0,12
Tuknanavuhpi,2,true,1.0,1.0,53.0,27
Gale,2,false,2.0,-1.0,34.0,16
Quarto,2,true,1.0,1.0,20.0,10
Claustro,2,false,2.0,-1.0,21.0,11
Motiq,2,false,1.5,0.0,1000.0,515
Oumoul Kono,2,false,1.5,0.0,1000.0,499
Pulijudamu,2,true,1.0,1.0,469.0,235
Kay,2,false,2.0,-1.0,207.0,108
Portes,2,true,1.0,1.0,138.0,72
Diviyan Keliya,2,true,1.0,1.0,445.0,223
Traffic Lights,2,false,2.0,-1.0,24.0,11
Kiz Tavlasi,2,false,2.0,-1.0,58.0,24
Makvoer,2,true,1.0,1.0,81.0,41
Quinze Tablas,2,true,1.0,1.0,892.0,474
Mweso,2,false,2.0,-1.0,144.0,55
I Pere,2,false,2.0,-1.0,43.0,22
Djara-Badakh,2,false,2.0,-1.0,146.0,72
Yaguarete Kora,2,true,1.0,1.0,49.0,25
Futoshiki,1,false,0.0,-1.0,500.0,500
Main Pacheh,4,false,3.0,-0.33333333333333326,592.0,168
Duene,2,false,1.5,0.0,61.0,32
Tayam Sonalu,4,false,2.0,0.33333333333333337,2000.0,288
Score Four,2,false,2.0,-1.0,34.0,16
Chomp,2,true,1.0,1.0,10.0,4
Tank Tactics,2,true,1.0,1.0,8.0,5
3D Tic-Tac-Toe,2,false,2.0,-1.0,10.0,4
Symmetric Chess,2,true,1.0,1.0,83.0,43
Sig (Mzab),2,false,1.5,0.0,1000.0,499
Seesaw,2,false,2.0,-1.0,94.0,41
Pentalath,2,true,1.0,1.0,17.0,9
To Kinegi tou Lagou,2,false,1.5,0.0,1000.0,500
Dongjintian (Four Players),4,false,2.0,0.33333333333333337,1328.0,413
Saxun,2,true,1.0,1.0,57.0,29
Lam Waladach,2,false,1.5,0.0,1000.0,515
Make Muster,2,true,1.0,1.0,35.0,18
Chaturanga,2,true,1.0,1.0,65.0,33
J'odu,2,true,1.0,1.0,133.0,73
Alice Chess,2,false,1.5,0.0,528.0,264
Mylna,2,true,1.0,1.0,35.0,20
Kharebga (5x5),2,true,1.0,1.0,73.0,37
Pic,5,false,4.0,-0.5,110.0,21
Deleb,4,false,2.5,0.0,2000.0,527
GrandTrictracSubgame,2,false,2.0,-1.0,63.0,31
Level Chess,4,false,1.5,0.6666666666666667,1178.0,557
Tides,2,true,1.0,1.0,52.0,28
Dablot Prejjesne,2,false,1.5,0.0,1000.0,498
Ouk Chatrang,2,true,1.0,1.0,67.0,34
Kotu Baendum,2,false,2.0,-1.0,478.0,250
Gala,2,false,1.5,0.0,1000.0,499
Main Dam,2,false,2.0,-1.0,50.0,23
Muvalavala (Quioco),2,true,1.0,1.0,30.0,19
Yahoudieh,2,false,2.0,-1.0,82.0,36
Okwe (Nigeria),2,false,1.5,0.0,1000.0,499
Jostle,2,true,1.0,1.0,25.0,13
Tic-Tac-Mo,3,true,1.0,1.0,8.0,2
Tabu Y,2,false,2.0,-1.0,48.0,23
Mity,2,true,1.0,1.0,37.0,19
Rimau-Rimau (One Tiger),2,true,1.0,1.0,526.0,265
Sujjua,2,false,2.0,-1.0,20.0,9
Mbelele,2,true,1.0,1.0,226.0,185
